name,artists,album_name,date,song_id,cover_url,playlist,position,commit_date
"Adieu, nous deux",Pierre Garnier,Chaque seconde (Edition deluxe),2024-11-22,6y8LXTxgfWkU6kGhLnK2XH,https://i.scdn.co/image/ab67616d0000b273339a041f7ee99bcd94e99c74,GrandHit,1,2024-12-20
Ma Meilleure Ennemie (from the series Arcane League of Legends),"Arcane, Stromae, Pomme",Arcane League of Legends: Season 2 (Soundtrack from the Animated Series),2024-11-23,2LwsunYgfRoqyIsNtgOCQx,https://i.scdn.co/image/ab67616d0000b2734aaf2413384c1efcc38353c6,GrandHit,2,2024-12-20
C'est l'heure,Ben Mazué,C'est l'heure,2024-11-27,4OiEMGO4SgvwDFqEbBSIHN,https://i.scdn.co/image/ab67616d0000b273025f204693528bf3e3732693,GrandHit,25,2024-12-20
Lejos de la Ciudad - con Camilo,"Daniela Spalla, Camilo",Lejos de la Ciudad (con Camilo),2024-12-06,3iDMvP8BZxE2Olorh2pWg9,https://i.scdn.co/image/ab67616d0000b273d3738e841e2a85f2c01afa08,ThisIsCamilo,26,2024-12-20
Cosas Pendientes,Maluma,Cosas Pendientes,2024-11-21,0iVEujJcafOBnxa654fJYu,https://i.scdn.co/image/ab67616d0000b2733e6665989eeb44e512a29571,ThisIsMaluma,1,2024-12-20
Peggy,Ceechynaa,Peggy,2024-12-05,6UPiTNzNmUFE59YkkyCs9n,https://i.scdn.co/image/ab67616d0000b2734e5fd26c04d140b0fd02e48d,BigOnTheInternet,10,2024-12-20
Ma Meilleure Ennemie (from the series Arcane League of Legends),"Arcane, Stromae, Pomme",Arcane League of Legends: Season 2 (Soundtrack from the Animated Series),2024-11-23,2LwsunYgfRoqyIsNtgOCQx,https://i.scdn.co/image/ab67616d0000b2734aaf2413384c1efcc38353c6,BigOnTheInternet,19,2024-12-20
tv off (feat. lefty gunplay),"Kendrick Lamar, Lefty Gunplay",GNX,2024-11-22,0aB0v4027ukVziUGwVGYpG,https://i.scdn.co/image/ab67616d0000b273d9985092cd88bffd97653b58,BigOnTheInternet,28,2024-12-20
Cosas Pendientes,Maluma,Cosas Pendientes,2024-11-21,0iVEujJcafOBnxa654fJYu,https://i.scdn.co/image/ab67616d0000b2733e6665989eeb44e512a29571,MalumaRadio,19,2024-12-20
HURT (feat. The Warning),"Dead Poet Society, The Warning",HURT (feat. The Warning),2024-12-12,0JKhtLEsm4Rij2HK6LyLYc,https://i.scdn.co/image/ab67616d0000b273e2cfee8fb511b55245409602,RockThis,1,2024-12-20
SLEEP WHEN I'M DEAD,Jack Kays,DEADBEAT!,2024-11-22,1SgrtfTB9QmIihcmj4NRNO,https://i.scdn.co/image/ab67616d0000b2732a20e68cda9203cbf868dfc1,RockThis,5,2024-12-20
For The Hell Of It,Sawyer Hill,For The Hell Of It,2024-12-03,1LsilTAFvxGArcUnp0W3YW,https://i.scdn.co/image/ab67616d0000b273a9eb992ed838bc77ad694211,RockThis,6,2024-12-20
NADIE,Tito Double P,NADIE,2024-11-21,7sd6zMrgGpEa7NkQm9TRrg,https://i.scdn.co/image/ab67616d0000b273369bcf083996da3c3b6d1f40,VivaLatino,2,2024-12-20
EL CLúB,Bad Bunny,EL CLúB,2024-12-05,3zOgFY5kpQ6p2cwPIquZks,https://i.scdn.co/image/ab67616d0000b2734331112097a80e410d085ec0,VivaLatino,3,2024-12-20
