name,artists,album_name,date,song_id,cover_url,playlist,position,commit_date
La Différence - Single Version,SANTA,La Différence,2025-01-10,5NsBf8z5M6YLphAMrDYc0O,https://i.scdn.co/image/ab67616d0000b2731a4bebdb2d3a940d5a12cd20,GrandHit,13,2025-01-17
DtMF,Bad Bunny,DeBÍ TiRAR MáS FOToS,2025-01-05,3sK8wGT43QFpWrvNQsrQya,https://i.scdn.co/image/ab67616d0000b273bbd45c8d36e0e045ef640411,BigOnTheInternet,3,2025-01-17
BMF,SZA,SOS Deluxe: LANA,2024-12-20,3U3hFkMr0Q90pD24EkE3Pr,https://i.scdn.co/image/ab67616d0000b2737f5a318e3ff35defa8d0e4af,BigOnTheInternet,4,2025-01-17
I'll Do It,Heidi Montag,Superficial (Anniversary Edition),2025-01-11,7gk4vtgckLeo8C2l14QhHU,https://i.scdn.co/image/ab67616d0000b27372d24c034351e75e7fa47984,BigOnTheInternet,8,2025-01-17
Tweaker,G3 GELO,Tweaker,2025-01-03,5nk6BxN9bM5rLNkA3pMOzn,https://i.scdn.co/image/ab67616d0000b273e9de80682fe4907050ada1ff,BigOnTheInternet,10,2025-01-17
DtMF,Bad Bunny,DeBÍ TiRAR MáS FOToS,2025-01-05,3sK8wGT43QFpWrvNQsrQya,https://i.scdn.co/image/ab67616d0000b273bbd45c8d36e0e045ef640411,ThisIsBadBunny,1,2025-01-17
BAILE INoLVIDABLE,Bad Bunny,DeBÍ TiRAR MáS FOToS,2025-01-05,2lTm559tuIvatlT1u0JYG2,https://i.scdn.co/image/ab67616d0000b273bbd45c8d36e0e045ef640411,ThisIsBadBunny,2,2025-01-17
PERFuMITO NUEVO,"Bad Bunny, RaiNao",DeBÍ TiRAR MáS FOToS,2025-01-05,1Q9Efnm5csdCMFynISxL2x,https://i.scdn.co/image/ab67616d0000b273bbd45c8d36e0e045ef640411,ThisIsBadBunny,3,2025-01-17
EoO,Bad Bunny,DeBÍ TiRAR MáS FOToS,2025-01-05,6J5kc12BW5HuP3d7C3vvx8,https://i.scdn.co/image/ab67616d0000b273bbd45c8d36e0e045ef640411,ThisIsBadBunny,4,2025-01-17
PIToRRO DE COCO,Bad Bunny,DeBÍ TiRAR MáS FOToS,2025-01-05,14QaXYIK3K3QPtezqxRRPN,https://i.scdn.co/image/ab67616d0000b273bbd45c8d36e0e045ef640411,ThisIsBadBunny,5,2025-01-17
VeLDÁ,"Bad Bunny, Omar Courtz, Dei V",DeBÍ TiRAR MáS FOToS,2025-01-05,7d6yK8v8J484SWH5prIQiE,https://i.scdn.co/image/ab67616d0000b273bbd45c8d36e0e045ef640411,ThisIsBadBunny,6,2025-01-17
WELTiTA,"Bad Bunny, Chuwi",DeBÍ TiRAR MáS FOToS,2025-01-05,5WEF0icHWmAZBBMglBd599,https://i.scdn.co/image/ab67616d0000b273bbd45c8d36e0e045ef640411,ThisIsBadBunny,7,2025-01-17
NUEVAYoL,Bad Bunny,DeBÍ TiRAR MáS FOToS,2025-01-05,5TFD2bmFKGhoCRbX61nXY5,https://i.scdn.co/image/ab67616d0000b273bbd45c8d36e0e045ef640411,ThisIsBadBunny,8,2025-01-17
TURiSTA,Bad Bunny,DeBÍ TiRAR MáS FOToS,2025-01-05,7tCuCjhxzjX2XCz4JiiAsp,https://i.scdn.co/image/ab67616d0000b273bbd45c8d36e0e045ef640411,ThisIsBadBunny,9,2025-01-17
CAFé CON RON,"Bad Bunny, Los Pleneros de la Cresta",DeBÍ TiRAR MáS FOToS,2025-01-05,6VNXmo59yDYgcwLS17UNAW,https://i.scdn.co/image/ab67616d0000b273bbd45c8d36e0e045ef640411,ThisIsBadBunny,10,2025-01-17
BOKeTE,Bad Bunny,DeBÍ TiRAR MáS FOToS,2025-01-05,79x7xtoCLpf6l32Zz6mWo4,https://i.scdn.co/image/ab67616d0000b273bbd45c8d36e0e045ef640411,ThisIsBadBunny,11,2025-01-17
LA MuDANZA,Bad Bunny,DeBÍ TiRAR MáS FOToS,2025-01-05,3G7agPwWfcORnWCAGMDOpm,https://i.scdn.co/image/ab67616d0000b273bbd45c8d36e0e045ef640411,ThisIsBadBunny,12,2025-01-17
VOY A LLeVARTE PA PR,Bad Bunny,DeBÍ TiRAR MáS FOToS,2025-01-05,59D4DOkspUbWyMmbAPQkxZ,https://i.scdn.co/image/ab67616d0000b273bbd45c8d36e0e045ef640411,ThisIsBadBunny,13,2025-01-17
KETU TeCRÉ,Bad Bunny,DeBÍ TiRAR MáS FOToS,2025-01-05,4c2Pc0NrfkesPR0jff6q3F,https://i.scdn.co/image/ab67616d0000b273bbd45c8d36e0e045ef640411,ThisIsBadBunny,14,2025-01-17
KLOuFRENS,Bad Bunny,DeBÍ TiRAR MáS FOToS,2025-01-05,4MUrUT38U98olfnyzMBCzm,https://i.scdn.co/image/ab67616d0000b273bbd45c8d36e0e045ef640411,ThisIsBadBunny,15,2025-01-17
EL CLúB,Bad Bunny,DeBÍ TiRAR MáS FOToS,2025-01-05,0iKo4pNNjHHdKUcFARlfCa,https://i.scdn.co/image/ab67616d0000b273bbd45c8d36e0e045ef640411,ThisIsBadBunny,16,2025-01-17
LO QUE LE PASÓ A HAWAii,Bad Bunny,DeBÍ TiRAR MáS FOToS,2025-01-05,1Hg0e997pObvZ91w1FCPFk,https://i.scdn.co/image/ab67616d0000b273bbd45c8d36e0e045ef640411,ThisIsBadBunny,17,2025-01-17
Spades,Vundabar,Spades,2025-01-16,1KKJZCtjS3oHLhphrssLtw,https://i.scdn.co/image/ab67616d0000b273bd90613a711aff6056b7b428,RockThis,4,2025-01-17
Someone Who Can,Coheed and Cambria,Someone Who Can,2025-01-14,4I67eSiBu1uekf8yYnJi7K,https://i.scdn.co/image/ab67616d0000b2735767a6dc20743c6e2ceaa896,RockThis,11,2025-01-17
T&A,Blondshell,T&A,2025-01-09,3FnEDWy3YuQh7EHekPsQfn,https://i.scdn.co/image/ab67616d0000b273c96dcec3621dd42be5ecb917,RockThis,18,2025-01-17
All the Noise,Spacey Jane,All the Noise,2025-01-15,6Tgj4AN3ufqIeIVqxnCE1N,https://i.scdn.co/image/ab67616d0000b273024dc2ad2d89d4ca2ed2ecc8,RockThis,21,2025-01-17
DtMF,Bad Bunny,DeBÍ TiRAR MáS FOToS,2025-01-05,3sK8wGT43QFpWrvNQsrQya,https://i.scdn.co/image/ab67616d0000b273bbd45c8d36e0e045ef640411,VivaLatino,1,2025-01-17
Loco,Neton Vega,Loco,2024-12-20,63EQbNhgaih4yg5412usWG,https://i.scdn.co/image/ab67616d0000b273c16bc1be28cd9728172a77f8,VivaLatino,2,2025-01-17
BAILE INoLVIDABLE,Bad Bunny,DeBÍ TiRAR MáS FOToS,2025-01-05,2lTm559tuIvatlT1u0JYG2,https://i.scdn.co/image/ab67616d0000b273bbd45c8d36e0e045ef640411,VivaLatino,4,2025-01-17
NUEVAYoL,Bad Bunny,DeBÍ TiRAR MáS FOToS,2025-01-05,5TFD2bmFKGhoCRbX61nXY5,https://i.scdn.co/image/ab67616d0000b273bbd45c8d36e0e045ef640411,VivaLatino,5,2025-01-17
ME JALO,"Fuerza Regida, Grupo Frontera",MALA MÍA,2024-12-19,3D24ErT1MMmUfXWotSj2A2,https://i.scdn.co/image/ab67616d0000b273d4cef83f06fc615fe94aeaf5,VivaLatino,9,2025-01-17
Aloh Aloh,Kapo,Aloh Aloh,2025-01-09,6Gs0ljTHKNdr0uJrSLIkGd,https://i.scdn.co/image/ab67616d0000b2737dfba1f457f2b6b8c4716b4b,VivaLatino,21,2025-01-17
Querida Yo,"Yami Safdie, Camilo",Querida Yo,2025-01-16,1dXfyBNV1Dv6Qj73bCtdrk,https://i.scdn.co/image/ab67616d0000b273af7963689c615c3c453067a2,VivaLatino,26,2025-01-17
DtMF,Bad Bunny,DeBÍ TiRAR MáS FOToS,2025-01-05,3sK8wGT43QFpWrvNQsrQya,https://i.scdn.co/image/ab67616d0000b273bbd45c8d36e0e045ef640411,TodayTopHits,6,2025-01-17
BAILE INoLVIDABLE,Bad Bunny,DeBÍ TiRAR MáS FOToS,2025-01-05,2lTm559tuIvatlT1u0JYG2,https://i.scdn.co/image/ab67616d0000b273bbd45c8d36e0e045ef640411,TodayTopHits,13,2025-01-17
