name,artists,album_name,date,song_id,cover_url,playlist,position,commit_date
Two Faced,Linkin Park,From Zero,2024-11-15,6i5qhmmF9UNUBRyrPSGn4m,https://i.scdn.co/image/ab67616d0000b273b11a5489e8cb11dd22b930a0,RockThis,1,2024-11-22
Perfect Soul,Spiritbox,Perfect Soul,2024-11-17,7FjRNlmPtWb1ra46t14rUN,https://i.scdn.co/image/ab67616d0000b2733ec172b61734712f5f7c7676,RockThis,3,2024-11-22
SLEEP WHEN I'M DEAD,Jack Kays,DEADBEAT!,2024-11-22,1SgrtfTB9QmIihcmj4NRNO,https://i.scdn.co/image/ab67616d0000b2732a20e68cda9203cbf868dfc1,RockThis,4,2024-11-22
Dystopia,ONE OK ROCK,Dystopia,2024-10-25,4WVcTxy8lZqrz3wp0Mp1DF,https://i.scdn.co/image/ab67616d0000b273487c05c6c311375802b335d6,RockThis,6,2024-11-22
Pitch Black,The Amazons,Pitch Black,2024-11-06,667WclCD8TE4oLsoWkRoNy,https://i.scdn.co/image/ab67616d0000b2735a17394a49c1cfcae669215e,RockThis,11,2024-11-22
Jerkin',Amyl and The Sniffers,Cartoon Darkness,2024-10-25,3rZwj7e7m61R5e9Tn3YTFa,https://i.scdn.co/image/ab67616d0000b27378edb934facb5c46ed42efea,RockThis,12,2024-11-22
People Watching,Sam Fender,People Watching,2024-11-15,3ZZyUf7WkhfN1JkQZZ00fI,https://i.scdn.co/image/ab67616d0000b27397fcb549b471c6d54e0b0afd,RockThis,13,2024-11-22
Your House,Inhaler,Your House,2024-10-29,20xfgpCbTJBDjrTFh916Av,https://i.scdn.co/image/ab67616d0000b27322074c0d6b1a92a6bc68b763,RockThis,18,2024-11-22
You Got Me Searching,Jack White,You Got Me Searching,2024-11-15,0MP463h7yiFtZmxQAZKh9r,https://i.scdn.co/image/ab67616d0000b273846a65539c1776a84434be75,RockThis,21,2024-11-22
Long Gone,Superheaven,Long Gone,2024-11-12,1JqovbqNQa5deYzyNsy7nR,https://i.scdn.co/image/ab67616d0000b273c9ef2292991be08f0222648e,RockThis,26,2024-11-22
The Emptiness Machine,Linkin Park,From Zero,2024-11-15,1EDPVGbyPKJPeGqATwXZvN,https://i.scdn.co/image/ab67616d0000b273b11a5489e8cb11dd22b930a0,RockThis,29,2024-11-22
