name,artists,album_name,date,song_id,cover_url,playlist,position,commit_date
Two Faced,Linkin Park,From Zero,2024-11-15,6i5qhmmF9UNUBRyrPSGn4m,https://i.scdn.co/image/ab67616d0000b273b11a5489e8cb11dd22b930a0,RockThis,2,2024-12-06
SLEEP WHEN I'M DEAD,Jack Kays,DEADBEAT!,2024-11-22,1SgrtfTB9QmIihcmj4NRNO,https://i.scdn.co/image/ab67616d0000b2732a20e68cda9203cbf868dfc1,RockThis,6,2024-12-06
For The Hell Of It,Sawyer Hill,For The Hell Of It,2024-12-03,1LsilTAFvxGArcUnp0W3YW,https://i.scdn.co/image/ab67616d0000b273a9eb992ed838bc77ad694211,RockThis,11,2024-12-06
You Got Me Searching,Jack White,You Got Me Searching,2024-11-15,0MP463h7yiFtZmxQAZKh9r,https://i.scdn.co/image/ab67616d0000b273846a65539c1776a84434be75,RockThis,12,2024-12-06
People Watching,Sam Fender,People Watching,2024-11-15,3ZZyUf7WkhfN1JkQZZ00fI,https://i.scdn.co/image/ab67616d0000b27397fcb549b471c6d54e0b0afd,RockThis,13,2024-12-06
Perfect Soul,Spiritbox,Perfect Soul,2024-11-17,7FjRNlmPtWb1ra46t14rUN,https://i.scdn.co/image/ab67616d0000b2733ec172b61734712f5f7c7676,RockThis,19,2024-12-06
The Line (from the series Arcane League of Legends),"Twenty One Pilots, Arcane, League of Legends",The Line (from the series Arcane League of Legends),2024-11-22,3qrTll9OQ9wcejTxPFY0qg,https://i.scdn.co/image/ab67616d0000b2738a577010b0baa62c836e330b,RockThis,20,2024-12-06
Qué Pasaría...,"Rauw Alejandro, Bad Bunny",Cosa Nuestra,2024-11-15,0l0vcZMU7AOeQmUIREoI2U,https://i.scdn.co/image/ab67616d0000b273ed432d7df981360768dd5856,ThisIsBadBunny,8,2024-12-06
These Walls (feat. Pierre de Maere),"Dua Lipa, Pierre de Maere",These Walls (feat. Pierre de Maere),2024-11-08,67LH2dzXF67Oi80yJaVYd7,https://i.scdn.co/image/ab67616d0000b273ab2b1c88fe95b43b41afa44b,HitRadioFr,5,2024-12-06
Les Anges,Aliocha Schneider,Aliocha Schneider (Deluxe),2024-11-08,5qftMKQEhmvZTeP1zWXs1d,https://i.scdn.co/image/ab67616d0000b273640e378c004fafa1102d4bef,CafeCroissant,1,2024-12-06
Songs,"half•alive, Jordana",Songs,2024-11-08,39GSMevjvCjRjO4FRVjFCf,https://i.scdn.co/image/ab67616d0000b2730ab375e7793c3ba2e89fb629,CafeCroissant,5,2024-12-06
Rent California,James Vincent McMorrow,Rent California,2024-11-29,5pM6G3SNUe0YIvdbo6YMV8,https://i.scdn.co/image/ab67616d0000b2733faad940db0b1fa424c6cf78,CafeCroissant,6,2024-12-06
It... What or Why?,Gypsy Mitchell,Love Is... Infinite,2024-11-15,7iXlNYB5XvFmsVhy2hMSrJ,https://i.scdn.co/image/ab67616d0000b273bb34f8bba0bec30d55ba7540,CafeCroissant,7,2024-12-06
sunflower ‘24,November Ultra,postcard season,2024-11-22,4B5bFK1CWLg3MHo56HNizi,https://i.scdn.co/image/ab67616d0000b273f7fee975efa445caf170a40a,CafeCroissant,8,2024-12-06
The Most,"Puggy, MARO",The Most,2024-11-08,56pFo1GZQCPvv4EZn87WQU,https://i.scdn.co/image/ab67616d0000b27332ad4eb0ce30001c5c0442fd,CafeCroissant,10,2024-12-06
End of the Line,Gizmo Varillas,End of the Line,2024-11-15,0kEhb225WGSAoGLNRq45hh,https://i.scdn.co/image/ab67616d0000b27377d52c9b3abdeeb747fc6c69,CafeCroissant,11,2024-12-06
Touching Toes,Olivia Dean,Touching Toes,2024-11-15,5qnVigvU1R795fr1HOSXzY,https://i.scdn.co/image/ab67616d0000b27385a760bb9d23158e967b8544,CafeCroissant,19,2024-12-06
Celebrate,"Jordan Rakei, STUTS",Celebrate,2024-11-08,0wDTskEQUKP63CjogXK6yc,https://i.scdn.co/image/ab67616d0000b2737bf0d0d836ec8289de4210a2,CafeCroissant,21,2024-12-06
Ocean,"FISHER, AR/CO",Ocean,2024-11-29,6jhAJgaS9OttFwP5Cn8WII,https://i.scdn.co/image/ab67616d0000b2730445db0af0b11d14db1c4cfa,Mint,1,2024-12-06
Body Talk (feat. Clementine Douglas),"Alok, Clementine Douglas",Body Talk (feat. Clementine Douglas),2024-12-06,7xn2WAbQfGjh8Xjs7zEWGf,https://i.scdn.co/image/ab67616d0000b27329ee99a134a983d13417af96,Mint,2,2024-12-06
Dirty Cash (Money Talks),"PAWSA, The Adventures Of Stevie V",Dirty Cash (Money Talks),2024-11-15,2VyvDGdcVY04cNYou9MFVX,https://i.scdn.co/image/ab67616d0000b273388a49c048fd9f67e338c3c6,Mint,3,2024-12-06
Forever Baby,"Carlita, Janet Planet",Sentimental,2024-11-15,07A5bghc5rp1kXuAYwl7Eo,https://i.scdn.co/image/ab67616d0000b27384d96d07b7f5ac08ca28090e,Mint,4,2024-12-06
Heavy Heart,"Loco Dice, Skrillex, Fireboy DML",Heavy Heart,2024-11-29,0tI2NvbF31oQNop2UeIvsC,https://i.scdn.co/image/ab67616d0000b273479a0d2de40a1652b4cf2cf3,Mint,6,2024-12-06
Told You So,"Martin Garrix, Jex",Told You So,2024-11-22,52dEZA0A4siRTuA4e8w3ll,https://i.scdn.co/image/ab67616d0000b27374ed367a3007b962487f89bb,Mint,8,2024-12-06
come aliv3,"RL Grime, Knock2, Abi Flynn",come aliv3,2024-12-06,0NFmxRKCW4FoJkn70k54CE,https://i.scdn.co/image/ab67616d0000b27329351bbf518d3432e38fc475,Mint,14,2024-12-06
Hold On Me,"Kygo, Sandro Cavazza",Hold On Me,2024-11-15,4aPX3IT9cskOWmeZvOYc5s,https://i.scdn.co/image/ab67616d0000b273e4b5723a6f4bf559e41e08ce,Mint,15,2024-12-06
Heaven In Your Arms,"salute, Jessie Ware",Heaven In Your Arms,2024-11-11,1uGvxm9aFt0oyUolJt8ooi,https://i.scdn.co/image/ab67616d0000b273d507d399087ab7149a9464a8,Mint,18,2024-12-06
The Days - NOTION Remix,"Chrystal, NOTION",The Days (NOTION Remix),2024-11-08,2FAZskT9yRjp2Oow9szJD8,https://i.scdn.co/image/ab67616d0000b2739041b9965925059507fb44af,Mint,19,2024-12-06
You,"BUNT., Oaks",You,2024-11-15,3C2OYWQFRVEo4QoHZKTNBK,https://i.scdn.co/image/ab67616d0000b273f6b79ca793fdaf63eea9a281,Mint,21,2024-12-06
