name,artists,album_name,date,song_id,cover_url,playlist,position,commit_date
Training Season,Dua Lipa,Training Season,2024-02-15,6Qb7YsAqH4wWFUMbGsCpap,https://i.scdn.co/image/ab67616d0000b273790260cc86fd7b2678bb204d,Workout,9,2024-03-15
we can't be friends (wait for your love),Ariana Grande,eternal sunshine,2024-03-08,46kspZSY3aKmwQe7O77fCC,https://i.scdn.co/image/ab67616d0000b273c75a14e746ffe2030e8cd5da,Workout,29,2024-03-15
we can't be friends (wait for your love),Ariana Grande,eternal sunshine,2024-03-08,46kspZSY3aKmwQe7O77fCC,https://i.scdn.co/image/ab67616d0000b273c75a14e746ffe2030e8cd5da,TodayTopHits,3,2024-03-15
Saturn,SZA,Saturn,2024-02-22,1bjeWoagtHmUKputLVyDxQ,https://i.scdn.co/image/ab67616d0000b273d70916ee9e40c90380ba5f07,TodayTopHits,8,2024-03-15
Training Season,Dua Lipa,Training Season,2024-02-15,6Qb7YsAqH4wWFUMbGsCpap,https://i.scdn.co/image/ab67616d0000b273790260cc86fd7b2678bb204d,TodayTopHits,11,2024-03-15
Never Lose Me (feat. SZA & Cardi B),"Flo Milli, SZA, Cardi B","Fine Ho, Stay",2024-03-15,0i1bokCJ95evU1gb5HcXFy,https://i.scdn.co/image/ab67616d0000b27390a00067d70bfab568ca27f4,TodayTopHits,18,2024-03-15
CONTIGO (with Tiësto),"KAROL G, Tiësto",CONTIGO (with Tiësto),2024-02-15,4UkUxO2WlKLc0Q1iEutGGh,https://i.scdn.co/image/ab67616d0000b273c5426d9daa879064ccf12fb1,TodayTopHits,25,2024-03-15
Dangerous,Thomas LaRosa,Dangerous,2024-02-28,10t1UFkcHz2qaBYqQhSpAa,https://i.scdn.co/image/ab67616d0000b2738a0c3d861c24d03965f0b359,GooseBumps,7,2024-03-15
Good Torture (with Elyanna),"Sevdaliza, Elyanna",Good Torture (with Elyanna),2024-03-01,3s29qreJr2KU7BFSiDtw0U,https://i.scdn.co/image/ab67616d0000b273073e82daca18b7477eb9a679,GooseBumps,10,2024-03-15
DFHMPU,Ari Abdul,DFHMPU,2024-02-22,6aZzBu7NiOSo1htN2Q7WLq,https://i.scdn.co/image/ab67616d0000b2730cde3d0c3426b0a42687f8cd,GooseBumps,14,2024-03-15
Plucked,Destroy Boys,Plucked,2024-03-13,7bkTXTJgFgGvAeLw4Tateh,https://i.scdn.co/image/ab67616d0000b273f7b1a19b3c6a5863faf41213,RockThis,1,2024-03-15
Overcompensate (edit),Twenty One Pilots,Overcompensate,2024-02-29,7kcApwUclbIw9B6MuVmqPc,https://i.scdn.co/image/ab67616d0000b2738627dc62d9612fbc1e3bc5c8,RockThis,4,2024-03-15
Gift Horse,IDLES,TANGK,2024-02-16,67CrKLE8d3Qhm4gcltiKs1,https://i.scdn.co/image/ab67616d0000b273838fbd7f0f3d02d2235cd121,RockThis,12,2024-03-15
Loud Bark,Mannequin Pussy,I Got Heaven,2024-03-01,4iaSz388a4iRMNRJZSClVG,https://i.scdn.co/image/ab67616d0000b273ff86c63665f087dd2989b0d7,RockThis,13,2024-03-15
New Age Crisis,Jean Dawson,Boohoo,2024-03-07,5SGngWVsm3RyjOYYDGjwgQ,https://i.scdn.co/image/ab67616d0000b273174faf39e06c7e142f3a96f1,RockThis,14,2024-03-15
Stray,The Mysterines,Stray,2024-02-20,2wb55krslcGE17P1BHeqH1,https://i.scdn.co/image/ab67616d0000b2737da1eb2c8fdad66f71644a37,RockThis,15,2024-03-15
