name,artists,album_name,date,song_id,cover_url,playlist,position,commit_date
Lejos de la Ciudad - con Camilo,"Daniela Spalla, Camilo",Lejos de la Ciudad (con Camilo),2024-12-06,3iDMvP8BZxE2Olorh2pWg9,https://i.scdn.co/image/ab67616d0000b273d3738e841e2a85f2c01afa08,ThisIsCamilo,17,2024-12-27
Peggy,Ceechynaa,Peggy,2024-12-05,6UPiTNzNmUFE59YkkyCs9n,https://i.scdn.co/image/ab67616d0000b2734e5fd26c04d140b0fd02e48d,BigOnTheInternet,18,2024-12-27
HURT (feat. The Warning),"Dead Poet Society, The Warning",HURT (feat. The Warning),2024-12-12,0JKhtLEsm4Rij2HK6LyLYc,https://i.scdn.co/image/ab67616d0000b273e2cfee8fb511b55245409602,RockThis,1,2024-12-27
For The Hell Of It,Sawyer Hill,For The Hell Of It,2024-12-03,1LsilTAFvxGArcUnp0W3YW,https://i.scdn.co/image/ab67616d0000b273a9eb992ed838bc77ad694211,RockThis,9,2024-12-27
Tomorrow,"Wisp, Distressor",Tomorrow,2024-12-27,2Xe437hf0Ft1qNvtBTi54n,https://i.scdn.co/image/ab67616d0000b273d0255cbab94809f19653191c,RockThis,15,2024-12-27
BITTER (feat. Max Fry),"ThxSoMch, Max Fry",BITTER (feat. Max Fry),2024-12-19,1gtDvibBfwX4TBszRh4UNT,https://i.scdn.co/image/ab67616d0000b273839874f94fd2a43a95ec2b8d,RockThis,16,2024-12-27
PIToRRO DE COCO,Bad Bunny,PIToRRO DE COCO,2024-12-26,1OSOHTBFkIkhUtxhOyUksc,https://i.scdn.co/image/ab67616d0000b2735efa26bea478e40e6dd4a9fd,VivaLatino,3,2024-12-27
EL CLúB,Bad Bunny,EL CLúB,2024-12-05,3zOgFY5kpQ6p2cwPIquZks,https://i.scdn.co/image/ab67616d0000b2734331112097a80e410d085ec0,VivaLatino,5,2024-12-27
ROSONES,Tito Double P,ROSONES,2024-12-05,0LTwdL5yZ6YOTEGUQPFuSN,https://i.scdn.co/image/ab67616d0000b273c6d0e8bfb41e9d9cee3a1248,VivaLatino,6,2024-12-27
LOS DEPURO (feat. L-Gante),"Myke Towers, L-Gante",LYKE MIIKE,2024-12-24,5GArlMelCbeXczJsdEHoA3,https://i.scdn.co/image/ab67616d0000b273b9b8921a8c791aacabea9677,VivaLatino,7,2024-12-27
MIRAME REMIX,"Blessd, Anuel AA, Ovy On The Drums",MIRAME REMIX,2024-12-11,2S8bH7ABqJ02bWeH8bgQfU,https://i.scdn.co/image/ab67616d0000b273813dd84caa42f3c2b2402cde,VivaLatino,13,2024-12-27
gervonta,Peso Pluma,gervonta,2024-12-05,0hfXHqWhOpbR9YQmQojDMN,https://i.scdn.co/image/ab67616d0000b2730892be1577c5cdb7eee47fa7,VivaLatino,14,2024-12-27
ME JALO,"Fuerza Regida, Grupo Frontera",MALA MÍA,2024-12-19,3D24ErT1MMmUfXWotSj2A2,https://i.scdn.co/image/ab67616d0000b273d4cef83f06fc615fe94aeaf5,VivaLatino,16,2024-12-27
ETA - RMX,"ROA, De La Rose, Luar La L, Yan Block, Omar Courtz",ETA (RMX),2024-12-04,6ir1I4ZtHzJfdV8TjIbLEY,https://i.scdn.co/image/ab67616d0000b273b5576e1d3dddb4ede5c8f1f4,VivaLatino,23,2024-12-27
Te Regalo,"Rels B, J Abecia",Te Regalo,2024-12-04,2318Aoqig6HS9YkHGlAm8T,https://i.scdn.co/image/ab67616d0000b273642825c5723035f43a899da5,VivaLatino,29,2024-12-27
toxic till the end,ROSÉ,rosie,2024-12-06,1z5ebC9238uGoBgzYyvGpQ,https://i.scdn.co/image/ab67616d0000b2735074bd0894cb1340b8d8a678,TodayTopHits,14,2024-12-27
EL CLúB,Bad Bunny,EL CLúB,2024-12-05,3zOgFY5kpQ6p2cwPIquZks,https://i.scdn.co/image/ab67616d0000b2734331112097a80e410d085ec0,TodayTopHits,19,2024-12-27
ESTOY PUTIAO,"Feid, Sky Rompiendo, Dei V",LOS 9 DE FERXXO Y SKY ROMPIENDO,2024-11-29,0lhcaiGyAkmZg5RaC99ZbH,https://i.scdn.co/image/ab67616d0000b273c099e4b6e57fe7a2304b0213,ExitosColombia,29,2024-12-27
CARRÉ OK,"Soolking, GIMS",CARRÉ OK,2024-12-12,338wPdNyvOPGZddfk81EKA,https://i.scdn.co/image/ab67616d0000b273dd2e091b62b57785457df2a6,FutursHits,4,2024-12-27
Another Part Of Me (feat. Sting),"Snoop Dogg, Dr. Dre, Sting",Another Part Of Me (feat. Sting),2024-11-29,50u1vw4DS6QQxJNXiMuWed,https://i.scdn.co/image/ab67616d0000b273bc26704c66d1471965d67e0f,FutursHits,7,2024-12-27
Comment te remplacer,"Carbonne, DYSTINCT, Michaël Brun",Comment te remplacer,2024-12-06,4EHbJvvAV3WglgTCkeflah,https://i.scdn.co/image/ab67616d0000b273838729d687222ab94abe2ddc,FutursHits,13,2024-12-27
MISS LILY'S,"Dinos, Hamza",MISS LILY'S,2024-11-28,5Kx1Lrn8DaVgiYxARqhchm,https://i.scdn.co/image/ab67616d0000b27321419c999dedd72a535c2e18,FutursHits,21,2024-12-27
Lejos de la Ciudad - con Camilo,"Daniela Spalla, Camilo",Lejos de la Ciudad (con Camilo),2024-12-06,3iDMvP8BZxE2Olorh2pWg9,https://i.scdn.co/image/ab67616d0000b273d3738e841e2a85f2c01afa08,CamiloRadio,10,2024-12-27
Where'd It Go Wrong?,d4vd,Where'd It Go Wrong?,2024-12-19,3l2asA2bO5lrwuiWneZbh0,https://i.scdn.co/image/ab67616d0000b273dfd3a72632986e63bfa5fe58,CafeCroissant,1,2024-12-27
Riverside,Oracle Sisters,Riverside,2024-12-11,0YXkNJeNhSiSXNTjtNiniU,https://i.scdn.co/image/ab67616d0000b2731a338414ad1028aa3fb7b38d,CafeCroissant,2,2024-12-27
Grateful For,BØRNS,Grateful For,2024-12-06,5cE0uS4VSGwOGYc1K6joDH,https://i.scdn.co/image/ab67616d0000b273d4389d53ed1d8bdee6fb3633,CafeCroissant,3,2024-12-27
Rent California,James Vincent McMorrow,Rent California,2024-11-29,5pM6G3SNUe0YIvdbo6YMV8,https://i.scdn.co/image/ab67616d0000b2733faad940db0b1fa424c6cf78,CafeCroissant,4,2024-12-27
Still In Love,Chezile,Still In Love,2024-12-06,1B3YSc9Pgkf3S1ly3ks7kO,https://i.scdn.co/image/ab67616d0000b273a69fc439cdb6fc0151a9e017,CafeCroissant,6,2024-12-27
Destruction,Cocoon,Destruction,2024-12-06,5UXWE2YprzKonI14ZIB4Sd,https://i.scdn.co/image/ab67616d0000b273c092deb3e917a16f76318b28,CafeCroissant,11,2024-12-27
Colourblind (feat. Loyle Carner),"Tom Misch, Loyle Carner",Colourblind (feat. Loyle Carner),2024-12-06,5I2qYkrOpXBNEM6SxUMdPM,https://i.scdn.co/image/ab67616d0000b27351cef89eaead1533eaa34249,CafeCroissant,12,2024-12-27
Ocean,"FISHER, AR/CO",Ocean,2024-11-29,6jhAJgaS9OttFwP5Cn8WII,https://i.scdn.co/image/ab67616d0000b2730445db0af0b11d14db1c4cfa,Mint,1,2024-12-27
little mystery,"Fred again.., John Martyn",two more days,2024-12-13,0BVIfVKh1wkQjNK32GMHM2,https://i.scdn.co/image/ab67616d0000b2738b6824246e04486add9e6391,Mint,2,2024-12-27
Say My Name - Remix,"Morgan Seatree, Florence + The Machine",Say My Name (Remix),2024-12-06,6GOOcBV0wLoHrH5D9AWA32,https://i.scdn.co/image/ab67616d0000b27385bcbf7c2ea2c1da340e994f,Mint,3,2024-12-27
Angel in the Dark,"Anyma, Massano, Nathan Nicholson",Angel in the Dark,2024-12-27,1omZLqRQ0nyXJwwYw94GPb,https://i.scdn.co/image/ab67616d0000b273a27380866897567e441f9c76,Mint,4,2024-12-27
Next To Me,"Don Diablo, MK, Gaby Gerlis",Next To Me,2024-12-13,6nEsyBcYBDN9rQ2c9Nh1kO,https://i.scdn.co/image/ab67616d0000b273e229c5ec91d1440e9d5971a0,Mint,5,2024-12-27
Body Talk (feat. Clementine Douglas),"Alok, Clementine Douglas",Body Talk (feat. Clementine Douglas),2024-12-06,7xn2WAbQfGjh8Xjs7zEWGf,https://i.scdn.co/image/ab67616d0000b27329ee99a134a983d13417af96,Mint,6,2024-12-27
Una Velita,Tiësto,Una Velita,2024-12-20,2KP7x5rt44zaTgcKBdLKkT,https://i.scdn.co/image/ab67616d0000b273dc3b8315fa3c4529d5d1ea1d,Mint,7,2024-12-27
come aliv3,"RL Grime, Knock2, Abi Flynn",come aliv3,2024-12-06,0NFmxRKCW4FoJkn70k54CE,https://i.scdn.co/image/ab67616d0000b27329351bbf518d3432e38fc475,Mint,12,2024-12-27
Stephanie,"Cloonee, Young M.A, InntRaw",Stephanie,2024-12-06,3sh2q76qsc7yLkQNmHKfQf,https://i.scdn.co/image/ab67616d0000b273a123b0691b660bfe112220c7,Mint,13,2024-12-27
Heartbreak,"Boombox Cartel, Dillon Francis, Nevve, urboi.",Heartbreak,2024-12-13,78MlxXcdUIYlYH5TNSjEut,https://i.scdn.co/image/ab67616d0000b2736d74d7d92f7b76ec39b18b99,Mint,17,2024-12-27
C'mon Look! (feat. Asake),"Sarz, Asake",C'mon Look! (feat. Asake),2024-12-12,0PmnXWLh2KXKF4K65HH0SY,https://i.scdn.co/image/ab67616d0000b27337edea1b55973a0a8278637a,Mint,18,2024-12-27
Heavy Heart,"Loco Dice, Skrillex, Fireboy DML",Heavy Heart,2024-11-29,0tI2NvbF31oQNop2UeIvsC,https://i.scdn.co/image/ab67616d0000b273479a0d2de40a1652b4cf2cf3,Mint,19,2024-12-27
Yosemite,"KETTAMA, Interplanetary Criminal",Yosemite,2024-12-13,2I7Ph7hRkjOMgy9WCsE4F3,https://i.scdn.co/image/ab67616d0000b27337ca5edb0040c681ca2ea516,Mint,22,2024-12-27
Show Me,"BURY, Beneld",Show Me,2024-12-18,2CQdlpK88QxuUyVKKXAxBF,https://i.scdn.co/image/ab67616d0000b27362db70897d566b30b1fd2e3b,GooseBumps,3,2024-12-27
Cortisol,Thoom,Cortisol,2024-12-04,1MmzDO0K0NJiLo8yHZLSIF,https://i.scdn.co/image/ab67616d0000b273ca8ba85e0c38a35a347c7a26,GooseBumps,12,2024-12-27
Lejos de la Ciudad - con Camilo,"Daniela Spalla, Camilo",Lejos de la Ciudad (con Camilo),2024-12-06,3iDMvP8BZxE2Olorh2pWg9,https://i.scdn.co/image/ab67616d0000b273d3738e841e2a85f2c01afa08,ThisIsCamilo,26,2024-12-20
Peggy,Ceechynaa,Peggy,2024-12-05,6UPiTNzNmUFE59YkkyCs9n,https://i.scdn.co/image/ab67616d0000b2734e5fd26c04d140b0fd02e48d,BigOnTheInternet,10,2024-12-20
HURT (feat. The Warning),"Dead Poet Society, The Warning",HURT (feat. The Warning),2024-12-12,0JKhtLEsm4Rij2HK6LyLYc,https://i.scdn.co/image/ab67616d0000b273e2cfee8fb511b55245409602,RockThis,1,2024-12-20
For The Hell Of It,Sawyer Hill,For The Hell Of It,2024-12-03,1LsilTAFvxGArcUnp0W3YW,https://i.scdn.co/image/ab67616d0000b273a9eb992ed838bc77ad694211,RockThis,6,2024-12-20
EL CLúB,Bad Bunny,EL CLúB,2024-12-05,3zOgFY5kpQ6p2cwPIquZks,https://i.scdn.co/image/ab67616d0000b2734331112097a80e410d085ec0,VivaLatino,3,2024-12-20
ROSONES,Tito Double P,ROSONES,2024-12-05,0LTwdL5yZ6YOTEGUQPFuSN,https://i.scdn.co/image/ab67616d0000b273c6d0e8bfb41e9d9cee3a1248,VivaLatino,4,2024-12-20
MIRAME REMIX,"Blessd, Anuel AA, Ovy On The Drums",MIRAME REMIX,2024-12-11,2S8bH7ABqJ02bWeH8bgQfU,https://i.scdn.co/image/ab67616d0000b273813dd84caa42f3c2b2402cde,VivaLatino,10,2024-12-20
gervonta,Peso Pluma,gervonta,2024-12-05,0hfXHqWhOpbR9YQmQojDMN,https://i.scdn.co/image/ab67616d0000b2730892be1577c5cdb7eee47fa7,VivaLatino,11,2024-12-20
ME JALO,"Fuerza Regida, Grupo Frontera",MALA MÍA,2024-12-19,3D24ErT1MMmUfXWotSj2A2,https://i.scdn.co/image/ab67616d0000b273d4cef83f06fc615fe94aeaf5,VivaLatino,14,2024-12-20
ETA - RMX,"ROA, De La Rose, Luar La L, Yan Block, Omar Courtz",ETA (RMX),2024-12-04,6ir1I4ZtHzJfdV8TjIbLEY,https://i.scdn.co/image/ab67616d0000b273b5576e1d3dddb4ede5c8f1f4,VivaLatino,22,2024-12-20
Te Regalo,"Rels B, J Abecia",Te Regalo,2024-12-04,2318Aoqig6HS9YkHGlAm8T,https://i.scdn.co/image/ab67616d0000b273642825c5723035f43a899da5,VivaLatino,27,2024-12-20
toxic till the end,ROSÉ,rosie,2024-12-06,1z5ebC9238uGoBgzYyvGpQ,https://i.scdn.co/image/ab67616d0000b2735074bd0894cb1340b8d8a678,TodayTopHits,13,2024-12-20
