name,artists,album_name,date,song_id,cover_url,playlist,position,commit_date
People Watching,Sam Fender,People Watching,2024-11-15,3ZZyUf7WkhfN1JkQZZ00fI,https://i.scdn.co/image/ab67616d0000b27397fcb549b471c6d54e0b0afd,RockThis,1,2024-12-13
HURT (feat. The Warning),"Dead Poet Society, The Warning",HURT (feat. The Warning),2024-12-12,0JKhtLEsm4Rij2HK6LyLYc,https://i.scdn.co/image/ab67616d0000b273e2cfee8fb511b55245409602,RockThis,4,2024-12-13
SLEEP WHEN I'M DEAD,Jack Kays,DEADBEAT!,2024-11-22,1SgrtfTB9QmIihcmj4NRNO,https://i.scdn.co/image/ab67616d0000b2732a20e68cda9203cbf868dfc1,RockThis,5,2024-12-13
Perfect Soul,Spiritbox,Perfect Soul,2024-11-17,7FjRNlmPtWb1ra46t14rUN,https://i.scdn.co/image/ab67616d0000b2733ec172b61734712f5f7c7676,RockThis,7,2024-12-13
Two Faced,Linkin Park,From Zero,2024-11-15,6i5qhmmF9UNUBRyrPSGn4m,https://i.scdn.co/image/ab67616d0000b273b11a5489e8cb11dd22b930a0,RockThis,8,2024-12-13
she will be missed,EKKSTACY,she will be missed,2024-12-13,39ZMuvrb2P0aCWbVyUpBe6,https://i.scdn.co/image/ab67616d0000b2737d5d12ffcc937c8d9f2c6282,RockThis,10,2024-12-13
You Got Me Searching,Jack White,You Got Me Searching,2024-11-15,0MP463h7yiFtZmxQAZKh9r,https://i.scdn.co/image/ab67616d0000b273846a65539c1776a84434be75,RockThis,11,2024-12-13
For The Hell Of It,Sawyer Hill,For The Hell Of It,2024-12-03,1LsilTAFvxGArcUnp0W3YW,https://i.scdn.co/image/ab67616d0000b273a9eb992ed838bc77ad694211,RockThis,15,2024-12-13
The Line (from the series Arcane League of Legends),"Twenty One Pilots, Arcane, League of Legends",The Line (from the series Arcane League of Legends),2024-11-22,3qrTll9OQ9wcejTxPFY0qg,https://i.scdn.co/image/ab67616d0000b2738a577010b0baa62c836e330b,RockThis,21,2024-12-13
Qué Pasaría...,"Rauw Alejandro, Bad Bunny",Cosa Nuestra,2024-11-15,0l0vcZMU7AOeQmUIREoI2U,https://i.scdn.co/image/ab67616d0000b273ed432d7df981360768dd5856,ThisIsBadBunny,8,2024-12-13
sunflower ‘24,November Ultra,postcard season,2024-11-22,4B5bFK1CWLg3MHo56HNizi,https://i.scdn.co/image/ab67616d0000b273f7fee975efa445caf170a40a,CafeCroissant,1,2024-12-13
Colourblind (feat. Loyle Carner),"Tom Misch, Loyle Carner",Colourblind (feat. Loyle Carner),2024-12-06,5I2qYkrOpXBNEM6SxUMdPM,https://i.scdn.co/image/ab67616d0000b27351cef89eaead1533eaa34249,CafeCroissant,2,2024-12-13
End of the Line,Gizmo Varillas,End of the Line,2024-11-15,0kEhb225WGSAoGLNRq45hh,https://i.scdn.co/image/ab67616d0000b27377d52c9b3abdeeb747fc6c69,CafeCroissant,3,2024-12-13
Destruction,Cocoon,Destruction,2024-12-06,5UXWE2YprzKonI14ZIB4Sd,https://i.scdn.co/image/ab67616d0000b273c092deb3e917a16f76318b28,CafeCroissant,4,2024-12-13
Rent California,James Vincent McMorrow,Rent California,2024-11-29,5pM6G3SNUe0YIvdbo6YMV8,https://i.scdn.co/image/ab67616d0000b2733faad940db0b1fa424c6cf78,CafeCroissant,5,2024-12-13
Grateful For,BØRNS,Grateful For,2024-12-06,5cE0uS4VSGwOGYc1K6joDH,https://i.scdn.co/image/ab67616d0000b273d4389d53ed1d8bdee6fb3633,CafeCroissant,9,2024-12-13
Still In Love,Chezile,Still In Love,2024-12-06,1B3YSc9Pgkf3S1ly3ks7kO,https://i.scdn.co/image/ab67616d0000b273a69fc439cdb6fc0151a9e017,CafeCroissant,12,2024-12-13
Touching Toes,Olivia Dean,Touching Toes,2024-11-15,5qnVigvU1R795fr1HOSXzY,https://i.scdn.co/image/ab67616d0000b27385a760bb9d23158e967b8544,CafeCroissant,15,2024-12-13
Riverside,Oracle Sisters,Riverside,2024-12-11,0YXkNJeNhSiSXNTjtNiniU,https://i.scdn.co/image/ab67616d0000b2731a338414ad1028aa3fb7b38d,CafeCroissant,20,2024-12-13
